dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,85.045465,125.000000,85.145465,36.730831,-43.364609,-59.002607,0.000000
0.020000,85.771173,125.000000,85.871173,35.839937,-44.544661,-59.002607,0.000000
0.020000,86.478827,125.000000,86.578827,34.925443,-45.724713,-59.002607,0.000000
0.020000,87.167955,125.000000,87.267955,33.987348,-46.904765,-59.002607,0.000000
0.020000,87.838085,125.000000,87.938085,33.025651,-48.084817,-59.002607,0.000000
0.020000,88.488745,125.000000,88.588745,32.040354,-49.264870,-59.002607,0.000000
0.020000,89.119463,125.000000,89.219463,31.031456,-50.444922,-59.002607,0.000000
0.020000,89.729767,125.000000,89.829767,29.998956,-51.624974,-59.002607,0.000000
0.020000,90.319185,125.000000,90.419185,28.942856,-52.805026,-59.002607,0.000000
0.020000,90.887422,125.000000,90.987422,27.880809,-53.102347,-14.866028,0.000000
0.020000,91.434417,125.000000,91.534417,26.818762,-53.102347,0.000000,0.000000
0.020000,91.960172,125.000000,92.060172,25.756715,-53.102347,0.000000,0.000000
0.020000,92.464686,125.000000,92.564686,24.694668,-53.102347,0.000000,0.000000
0.020000,92.947959,125.000000,93.047959,23.632621,-53.102347,0.000000,0.000000
0.020000,93.410167,125.000000,93.510167,22.588229,-52.219615,44.136579,0.000000
0.020000,93.851724,125.000000,93.951724,21.567437,-51.039563,59.002607,0.000000
0.020000,94.273101,125.000000,94.373101,20.570247,-49.859511,59.002607,0.000000
0.020000,94.674770,125.000000,94.774770,19.596658,-48.679459,59.002607,0.000000
0.020000,95.057203,125.000000,95.157203,18.646670,-47.499406,59.002607,0.000000
0.020000,95.420873,125.000000,95.520873,17.720283,-46.319354,59.002607,0.000000
0.020000,95.766251,125.000000,95.866251,16.817497,-45.139302,59.002607,0.000000
0.020000,96.093809,125.000000,96.193809,15.938312,-43.959250,59.002607,0.000000
0.020000,96.404019,125.000000,96.504019,15.082728,-42.779198,59.002607,0.000000
0.020000,96.697354,125.000000,96.797354,14.250745,-41.599146,59.002607,0.000000
0.020000,96.974285,125.000000,97.074285,13.442363,-40.419094,59.002607,0.000000
0.020000,97.235284,125.000000,97.335284,12.657582,-39.239041,59.002607,0.000000
0.020000,97.480824,125.000000,97.580824,11.896402,-38.058989,59.002607,0.000000
0.020000,97.711376,125.000000,97.811376,11.158824,-36.878937,59.002607,0.000000
0.020000,97.927413,125.000000,98.027413,10.444846,-35.698885,59.002607,0.000000
0.020000,98.129406,125.000000,98.229406,9.754469,-34.518833,59.002607,0.000000
0.020000,98.317828,125.000000,98.417828,9.087694,-33.338781,59.002607,0.000000
0.020000,98.493150,125.000000,98.593150,8.444519,-32.158728,59.002607,0.000000
0.020000,98.655845,125.000000,98.755845,7.824946,-30.978676,59.002607,0.000000
0.020000,98.806384,125.000000,98.906384,7.228973,-29.798624,59.002607,0.000000
0.020000,98.945240,125.000000,99.045240,6.656602,-28.618572,59.002607,0.000000
0.020000,99.072884,125.000000,99.172884,6.107831,-27.438520,59.002607,0.000000
0.020000,99.189789,125.000000,99.289789,5.582662,-26.258468,59.002607,0.000000
0.020000,99.296426,125.000000,99.396426,5.081094,-25.078416,59.002607,0.000000
0.020000,99.393269,125.000000,99.493269,4.603126,-23.898363,59.002607,0.000000
0.020000,99.480787,125.000000,99.580787,4.148760,-22.718311,59.002607,0.000000
0.020000,99.559455,125.000000,99.659455,3.717995,-21.538259,59.002607,0.000000
0.020000,99.629743,125.000000,99.729743,3.310831,-20.358207,59.002607,0.000000
0.020000,99.692124,125.000000,99.792124,2.927268,-19.178155,59.002607,0.000000
0.020000,99.747070,125.000000,99.847070,2.567306,-17.998103,59.002607,0.000000
0.020000,99.795052,125.000000,99.895052,2.230945,-16.818051,59.002607,0.000000
0.020000,99.836544,125.000000,99.936544,1.918185,-15.637998,59.002607,0.000000
0.020000,99.872016,125.000000,99.972016,1.629026,-14.457946,59.002607,0.000000
0.020000,99.901941,125.000000,100.001941,1.363468,-13.277894,59.002607,0.000000
0.020000,99.926791,125.000000,100.026791,1.121511,-12.097842,59.002607,0.000000
0.020000,99.947037,125.000000,100.047037,0.903155,-10.917790,59.002607,0.000000
0.020000,99.963153,125.000000,100.063153,0.708400,-9.737738,59.002607,0.000000
0.020000,99.975609,125.000000,100.075609,0.537247,-8.557686,59.002607,0.000000
0.020000,99.984879,125.000000,100.084879,0.389694,-7.377633,59.002607,0.000000
0.020000,99.991433,125.000000,100.091433,0.265742,-6.197581,59.002607,0.000000
0.020000,99.995744,125.000000,100.095744,0.165392,-5.017529,59.002607,0.000000
0.020000,99.998285,125.000000,100.098285,0.088642,-3.837477,59.002607,0.000000
0.020000,99.999526,125.000000,100.099526,0.035494,-2.657425,59.002607,0.000000
0.020000,99.999941,125.000000,100.099941,0.005946,-1.477373,59.002607,0.000000
0.020000,100.000000,125.000000,100.100000,0.000000,-0.297321,59.002607,0.000000
0.020000,100.000000,125.000000,100.100000,0.000000,0.000000,14.866028,0.000000
