dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.467636,139.250000,65.467872,50.533452,-16.813436,-59.002607,0.000000
0.020000,66.471108,139.250000,66.471344,50.173582,-17.993488,-59.002607,0.000000
0.020000,67.466910,139.250000,67.467146,49.790112,-19.173540,-59.002607,0.000000
0.020000,68.454571,139.250000,68.454807,49.383040,-20.353592,-59.002607,0.000000
0.020000,69.433618,139.250000,69.433854,48.952367,-21.533644,-59.002607,0.000000
0.020000,70.403580,139.250000,70.403816,48.498093,-22.713696,-59.002607,0.000000
0.020000,71.363984,139.250000,71.364220,48.020218,-23.893748,-59.002607,0.000000
0.020000,72.314359,139.250000,72.314595,47.518742,-25.073801,-59.002607,0.000000
0.020000,73.254233,139.250000,73.254469,46.993665,-26.253853,-59.002607,0.000000
0.020000,74.183132,139.250000,74.183368,46.444987,-27.433905,-59.002607,0.000000
0.020000,75.100586,139.250000,75.100822,45.872708,-28.613957,-59.002607,0.000000
0.020000,76.006123,139.250000,76.006359,45.276828,-29.794009,-59.002607,0.000000
0.020000,76.899270,139.250000,76.899506,44.657346,-30.974061,-59.002607,0.000000
0.020000,77.779555,139.250000,77.779791,44.014264,-32.154113,-59.002607,0.000000
0.020000,78.646507,139.250000,78.646743,43.347581,-33.334166,-59.002607,0.000000
0.020000,79.499653,139.250000,79.499889,42.657296,-34.514218,-59.002607,0.000000
0.020000,80.338521,139.250000,80.338757,41.943411,-35.694270,-59.002607,0.000000
0.020000,81.162639,139.250000,81.162875,41.205925,-36.874322,-59.002607,0.000000
0.020000,81.971536,139.250000,81.971772,40.444837,-38.054374,-59.002607,0.000000
0.020000,82.764739,139.250000,82.764975,39.660149,-39.234426,-59.002607,0.000000
0.020000,83.541776,139.250000,83.542012,38.851859,-40.414478,-59.002607,0.000000
0.020000,84.302176,139.250000,84.302412,38.019968,-41.594531,-59.002607,0.000000
0.020000,85.045465,139.250000,85.045701,37.164477,-42.774583,-59.002607,0.000000
0.020000,85.771173,139.250000,85.771409,36.285384,-43.954635,-59.002607,0.000000
0.020000,86.478827,139.250000,86.479063,35.382690,-45.134687,-59.002607,0.000000
0.020000,87.167955,139.250000,87.168191,34.456395,-46.314739,-59.002607,0.000000
0.020000,87.838085,139.250000,87.838321,33.506500,-47.494791,-59.002607,0.000000
0.020000,88.488745,139.250000,88.488981,32.533003,-48.674843,-59.002607,0.000000
0.020000,89.119463,139.250000,89.119699,31.535905,-49.854896,-59.002607,0.000000
0.020000,89.729767,139.250000,89.730003,30.515206,-51.034948,-59.002607,0.000000
0.020000,90.319185,139.250000,90.319421,29.470906,-52.215000,-59.002607,0.000000
0.020000,90.887422,139.250000,90.887658,28.411832,-52.953686,-36.934318,0.000000
0.020000,91.434417,139.250000,91.434653,27.349785,-53.102347,-7.433014,0.000000
0.020000,91.960172,139.250000,91.960408,26.287738,-53.102347,0.000000,0.000000
0.020000,92.464686,139.250000,92.464922,25.225691,-53.102347,-0.000000,0.000000
0.020000,92.947959,139.250000,92.948195,24.163644,-53.102347,0.000000,0.000000
